2886
      5.50	      6.00	     90.00
     17.00	      7.50	     90.00
     16.50	     12.00	     90.00
     17.50	     18.00	     90.00
     11.00	     21.00	     90.00
     12.50	     21.00	     90.00
     18.50	     22.50	     90.00
     14.50	     23.00	     90.00
     17.50	      4.50	     60.00
     12.00	      9.00	     60.00
     11.50	     16.00	     60.00
     34.00	     26.50	     60.00
     14.00	     28.00	     60.00
     12.00	     28.50	     60.00
     26.00	     34.50	     60.00
     21.00	      5.00	     30.00
      6.00	      7.50	     30.00
     13.00	      7.50	     30.00
     15.50	     10.50	     30.00
     16.50	     17.00	     30.00
     33.50	     19.50	     30.00
     19.00	     20.00	     30.00
      8.50	     21.50	     30.00
      4.50	     27.50	     30.00
      5.50	     27.50	     30.00
      6.00	     27.50	     30.00
      6.50	     27.50	     30.00
      7.00	     27.50	     30.00
      7.50	     27.50	     30.00
      8.00	     27.50	     30.00
      8.50	     27.50	     30.00
      9.00	     27.50	     30.00
      9.50	     27.50	     30.00
     10.00	     27.50	     30.00
     10.50	     27.50	     30.00
     11.00	     27.50	     30.00
     11.50	     27.50	     30.00
     12.00	     27.50	     30.00
     12.50	     27.50	     30.00
     13.00	     27.50	     30.00
     13.50	     27.50	     30.00
     14.00	     27.50	     30.00
     14.50	     27.50	     30.00
     15.50	     27.50	     30.00
     16.00	     27.50	     30.00
     16.50	     27.50	     30.00
     17.00	     27.50	     30.00
     18.00	     27.50	     30.00
     18.50	     27.50	     30.00
     20.00	     27.50	     30.00
     20.50	     27.50	     30.00
     21.00	     27.50	     30.00
     21.50	     27.50	     30.00
     22.00	     27.50	     30.00
     22.50	     27.50	     30.00
     23.00	     27.50	     30.00
     23.50	     27.50	     30.00
     24.00	     27.50	     30.00
     24.50	     27.50	     30.00
     25.00	     27.50	     30.00
     25.50	     27.50	     30.00
     26.00	     27.50	     30.00
     26.50	     27.50	     30.00
     27.00	     27.50	     30.00
     27.50	     27.50	     30.00
     28.00	     27.50	     30.00
     28.50	     27.50	     30.00
     29.00	     27.50	     30.00
     29.50	     27.50	     30.00
     30.00	     27.50	     30.00
     30.50	     27.50	     30.00
     31.00	     27.50	     30.00
     31.50	     27.50	     30.00
     32.00	     27.50	     30.00
     32.50	     27.50	     30.00
     33.00	     27.50	     30.00
     33.50	     27.50	     30.00
     34.00	     27.50	     30.00
